	Mpolymorpha_320_v3.1.protein.primary	Niben101_annotation.proteins
OG0000174	Mapoly0004s0116.1.p, Mapoly0004s0266.1.p	Niben101Scf00069g13003.1, Niben101Scf00069g13004.1, Niben101Scf00069g14007.1, Niben101Scf01477g02007.1, Niben101Scf01477g03006.1, Niben101Scf02610g01018.1, Niben101Scf03531g00016.1
OG0000175	Mapoly0214s0006.1.p	Niben101Scf01269g17013.1, Niben101Scf02665g14007.1, Niben101Scf05717g03015.1, Niben101Scf07580g05002.1, Niben101Scf07586g02002.1, Niben101Scf07716g00004.1, Niben101Scf07716g00005.1, Niben101Scf08926g05003.1
OG0000176	Mapoly0067s0070.1.p, Mapoly0067s0073.1.p, Mapoly0067s0074.1.p, Mapoly0067s0075.1.p, Mapoly0125s0037.1.p	Niben101Scf00465g00003.1, Niben101Scf02429g07037.1, Niben101Scf03029g00014.1, Niben101Scf05712g02003.1
OG0000177	Mapoly0042s0028.1.p	Niben101Scf00058g03014.1, Niben101Scf00621g06003.1, Niben101Scf04271g07007.1, Niben101Scf05301g05003.1, Niben101Scf06822g00002.1, Niben101Scf09719g00002.1, Niben101Scf11037g02003.1, Niben101Scf11037g02015.1
OG0000178	Mapoly0009s0199.1.p	Niben101Scf00276g01003.1, Niben101Scf01548g00024.1, Niben101Scf02423g02014.1, Niben101Scf02709g03020.1, Niben101Scf04146g01009.1, Niben101Scf04216g04012.1, Niben101Scf10287g00002.1, Niben101Scf10547g01001.1
OG0000179	Mapoly0011s0099.1.p, Mapoly0051s0072.1.p, Mapoly0067s0058.1.p	Niben101Scf01158g02004.1, Niben101Scf01295g01003.1, Niben101Scf01876g01009.1, Niben101Scf02042g03023.1, Niben101Scf04019g07006.1, Niben101Scf15632g00019.1
OG0000180	Mapoly0069s0030.1.p	Niben101Scf02123g03009.1, Niben101Scf03863g06009.1, Niben101Scf03893g02006.1, Niben101Scf04071g02001.1, Niben101Scf05483g12004.1, Niben101Scf13683g01017.1, Niben101Scf17137g00001.1, Niben101Scf38186g00005.1
OG0000181	Mapoly0001s0151.1.p	Niben101Scf01326g09013.1, Niben101Scf01689g07012.1, Niben101Scf01696g05015.1, Niben101Scf02073g05005.1, Niben101Scf04294g03007.1, Niben101Scf05845g02001.1, Niben101Scf08168g02007.1, Niben101Scf08168g02008.1
OG0000182	Mapoly0058s0024.1.p, Mapoly0068s0050.1.p	Niben101Ctg09615g00003.1, Niben101Ctg12838g00001.1, Niben101Scf01777g03031.1, Niben101Scf01998g04004.1, Niben101Scf02831g04006.1, Niben101Scf03528g01010.1, Niben101Scf05734g00009.1
OG0000183	Mapoly0091s0052.1.p	Niben101Scf00536g03014.1, Niben101Scf00561g00015.1, Niben101Scf01432g00001.1, Niben101Scf01710g01016.1, Niben101Scf03840g00007.1, Niben101Scf04276g00004.1, Niben101Scf04950g00010.1, Niben101Scf10248g00008.1
OG0000184	Mapoly0092s0047.1.p	Niben101Scf00170g05014.1, Niben101Scf00254g06003.1, Niben101Scf00616g02011.1, Niben101Scf01154g03004.1, Niben101Scf01189g02001.1, Niben101Scf01189g02019.1, Niben101Scf01795g13007.1, Niben101Scf09063g01006.1
OG0000185		Niben101Scf00369g20008.1, Niben101Scf00369g21004.1, Niben101Scf00369g21005.1, Niben101Scf00890g00002.1, Niben101Scf00890g01025.1, Niben101Scf01848g03003.1, Niben101Scf02606g05027.1, Niben101Scf02687g00005.1, Niben101Scf05316g01002.1
OG0000186	Mapoly0004s0018.1.p, Mapoly0005s0258.1.p, Mapoly0068s0030.1.p, Mapoly0191s0004.1.p	Niben101Scf00509g03009.1, Niben101Scf01976g00013.1, Niben101Scf01992g01011.1, Niben101Scf04549g10015.1
OG0000187	Mapoly0005s0139.1.p	Niben101Scf01269g02003.1, Niben101Scf01269g03010.1, Niben101Scf03396g03006.1, Niben101Scf09996g00006.1, Niben101Scf13762g01008.1, Niben101Scf13762g01034.1, Niben101Scf13762g01035.1
OG0000188	Mapoly0037s0147.1.p, Mapoly0037s0148.1.p, Mapoly0139s0021.1.p, Mapoly0203s0003.1.p, Mapoly0203s0004.1.p, Mapoly0203s0005.1.p	Niben101Ctg00174g00001.1, Niben101Scf04829g02003.1
OG0000189	Mapoly0124s0065.1.p, Mapoly0189s0013.1.p	Niben101Scf01556g03003.1, Niben101Scf03546g00006.1, Niben101Scf05692g07001.1, Niben101Scf09236g00013.1, Niben101Scf11895g03021.1, Niben101Scf15532g01007.1
OG0000190	Mapoly0038s0108.1.p	Niben101Scf00381g08009.1, Niben101Scf00381g09001.1, Niben101Scf03673g02015.1, Niben101Scf06077g02003.1, Niben101Scf07027g06002.1, Niben101Scf08647g00002.1, Niben101Scf12526g00010.1
OG0000191	Mapoly0041s0119.1.p, Mapoly0041s0120.1.p, Mapoly0172s0001.1.p, Mapoly0228s0004.1.p	Niben101Ctg13833g00001.1, Niben101Scf08277g00015.1, Niben101Scf10335g00002.1, Niben101Scf15393g00005.1
OG0000192	Mapoly0006s0113.1.p, Mapoly0135s0012.1.p, Mapoly0274s0003.1.p, Mapoly1426s0001.1.p	Niben101Scf01711g02010.1, Niben101Scf03169g01006.1, Niben101Scf04197g00003.1, Niben101Scf11552g03001.1
OG0000193	Mapoly0085s0011.1.p, Mapoly0085s0052.1.p	Niben101Scf00974g02010.1, Niben101Scf01143g11001.1, Niben101Scf03056g01019.1, Niben101Scf03056g02014.1, Niben101Scf07325g00005.1, Niben101Scf07325g00035.1
OG0000194	Mapoly0085s0001.1.p, Mapoly0147s0038.1.p, Mapoly0203s0014.1.p, Mapoly0203s0015.1.p, Mapoly0203s0018.1.p, Mapoly0203s0020.1.p	Niben101Scf02838g07003.1, Niben101Scf10688g01002.1
OG0000195	Mapoly0195s0005.1.p, Mapoly0195s0006.1.p, Mapoly0195s0007.1.p, Mapoly0195s0008.1.p, Mapoly0773s0001.1.p	Niben101Scf13017g00008.1, Niben101Scf14079g00013.1, Niben101Scf25094g00003.1
OG0000196	Mapoly0174s0011.1.p	Niben101Scf01252g01009.1, Niben101Scf03026g01010.1, Niben101Scf04995g09003.1, Niben101Scf07242g05005.1, Niben101Scf07242g05006.1, Niben101Scf07678g02010.1, Niben101Scf28369g01003.1
OG0000197	Mapoly0006s0067.1.p	Niben101Scf00301g04001.1, Niben101Scf00690g03002.1, Niben101Scf03275g00020.1, Niben101Scf04505g06003.1, Niben101Scf04505g06005.1, Niben101Scf04665g02006.1, Niben101Scf11831g00005.1
OG0000198	Mapoly0003s0037.1.p, Mapoly0006s0173.1.p, Mapoly0058s0083.1.p, Mapoly0106s0002.1.p	Niben101Scf01062g01019.1, Niben101Scf01062g01021.1, Niben101Scf05458g00004.1, Niben101Scf05458g00010.1
OG0000199	Mapoly0077s0022.1.p, Mapoly0115s0043.1.p	Niben101Scf00525g04006.1, Niben101Scf01750g06006.1, Niben101Scf03377g05016.1, Niben101Scf03817g14005.1, Niben101Scf04431g03016.1, Niben101Scf08263g01003.1
OG0000200	Mapoly0102s0022.1.p	Niben101Scf00646g07018.1, Niben101Scf00646g09007.1, Niben101Scf00646g09008.1, Niben101Scf04140g01018.1, Niben101Scf05963g00010.1, Niben101Scf05963g00024.1, Niben101Scf05963g00030.1
OG0000201	Mapoly0102s0028.1.p	Niben101Scf01051g10024.1, Niben101Scf01180g02001.1, Niben101Scf01731g00006.1, Niben101Scf02816g16027.1, Niben101Scf03226g00003.1, Niben101Scf05348g03008.1, Niben101Scf09189g01020.1
OG0000202	Mapoly0102s0017.1.p	Niben101Scf01764g03011.1, Niben101Scf02207g12001.1, Niben101Scf02237g09013.1, Niben101Scf02237g09014.1, Niben101Scf02243g07026.1, Niben101Scf10366g00013.1, Niben101Scf14979g00002.1
OG0000203	Mapoly0001s0174.1.p, Mapoly0151s0019.1.p	Niben101Scf01025g07003.1, Niben101Scf01025g07004.1, Niben101Scf02208g00003.1, Niben101Scf02466g02003.1, Niben101Scf05246g02017.1, Niben101Scf08008g01001.1
OG0000204	Mapoly0022s0141.1.p, Mapoly0037s0134.1.p, Mapoly0090s0021.1.p	Niben101Scf00996g02002.1, Niben101Scf02390g02017.1, Niben101Scf04754g02007.1, Niben101Scf07244g03021.1, Niben101Scf09523g02006.1
OG0000205	Mapoly0018s0021.1.p, MapolyY_A0004.1.p	Niben101Scf00425g01001.1, Niben101Scf02077g03007.1, Niben101Scf02237g01001.1, Niben101Scf04654g02005.1, Niben101Scf06720g01006.1, Niben101Scf07162g01018.1
OG0000206	Mapoly0063s0052.1.p	Niben101Scf00779g00014.1, Niben101Scf02825g00018.1, Niben101Scf04083g01024.1, Niben101Scf05154g01013.1, Niben101Scf11653g01009.1, Niben101Scf13595g01024.1, Niben101Scf32157g01002.1
OG0000207	Mapoly0133s0012.1.p, MapolyY_B0034.1.p	Niben101Scf00369g02005.1, Niben101Scf00369g02009.1, Niben101Scf01689g03011.1, Niben101Scf05901g01008.1, Niben101Scf09452g01021.1, Niben101Scf36321g00001.1
OG0000208	Mapoly0127s0011.1.p	Niben101Scf01866g01018.1, Niben101Scf03694g01005.1, Niben101Scf03900g00004.1, Niben101Scf05617g01022.1, Niben101Scf10161g00015.1, Niben101Scf10254g01010.1, Niben101Scf14282g00010.1
OG0000209	Mapoly0049s0030.1.p	Niben101Scf00116g05010.1, Niben101Scf03929g06012.1, Niben101Scf04122g00001.1, Niben101Scf06772g00001.1, Niben101Scf08157g02006.1, Niben101Scf11663g00006.1, Niben101Scf21348g00009.1
OG0000210	Mapoly0111s0010.1.p	Niben101Scf00028g03008.1, Niben101Scf00167g00016.1, Niben101Scf01418g02005.1, Niben101Scf02566g03004.1, Niben101Scf03031g02020.1, Niben101Scf06650g06003.1, Niben101Scf24018g00005.1
OG0000211	Mapoly0141s0034.1.p	Niben101Scf00446g02001.1, Niben101Scf00712g08006.1, Niben101Scf02513g11002.1, Niben101Scf03278g01002.1, Niben101Scf05425g00013.1, Niben101Scf06344g00004.1, Niben101Scf10881g00027.1
OG0000212	Mapoly0003s0107.1.p, Mapoly0003s0108.1.p, Mapoly0057s0019.1.p, Mapoly0076s0003.1.p, Mapoly0076s0004.1.p, Mapoly0076s0005.1.p, Mapoly0076s0006.1.p, Mapoly0076s0007.1.p	
OG0000213	Mapoly0212s0004.1.p	Niben101Scf01640g00002.1, Niben101Scf02626g08014.1, Niben101Scf02740g03011.1, Niben101Scf02828g02003.1, Niben101Scf02973g00004.1, Niben101Scf04109g03011.1, Niben101Scf04973g02010.1
OG0000214	Mapoly0048s0029.1.p	Niben101Scf00163g20015.1, Niben101Scf00428g10003.1, Niben101Scf06078g03007.1, Niben101Scf08293g01002.1, Niben101Scf08330g02002.1, Niben101Scf09317g02012.1, Niben101Scf32020g00005.1
OG0000215	Mapoly0013s0139.1.p, Mapoly0083s0020.1.p	Niben101Scf02452g01003.1, Niben101Scf02597g00003.1, Niben101Scf02736g07003.1, Niben101Scf05926g01002.1, Niben101Scf07775g00009.1, Niben101Scf16439g00004.1
OG0000216	Mapoly0075s0066.1.p, Mapoly0104s0036.1.p	Niben101Scf02711g00003.1, Niben101Scf03000g00011.1, Niben101Scf03911g05013.1, Niben101Scf08855g02013.1, Niben101Scf09260g03002.1, Niben101Scf18703g00007.1
OG0000217	Mapoly0044s0032.1.p	Niben101Scf00428g12016.1, Niben101Scf05956g01013.1, Niben101Scf06078g02031.1, Niben101Scf06078g02032.1, Niben101Scf09317g01008.1, Niben101Scf09456g00018.1, Niben101Scf34790g00004.1
OG0000218	Mapoly0142s0001.1.p	Niben101Scf01663g00004.1, Niben101Scf01834g04006.1, Niben101Scf02783g01002.1, Niben101Scf03138g01042.1, Niben101Scf04099g06006.1, Niben101Scf06888g01003.1, Niben101Scf27945g00007.1
OG0000219	Mapoly0028s0075.1.p, Mapoly0090s0046.1.p	Niben101Ctg16374g00011.1, Niben101Scf00858g00009.1, Niben101Scf03471g01013.1, Niben101Scf04528g13006.1, Niben101Scf04528g13017.1, Niben101Scf06332g00010.1
OG0000220	Mapoly0016s0199.1.p, Mapoly0016s0200.1.p, Mapoly0053s0004.1.p, Mapoly0173s0028.1.p, Mapoly0173s0029.1.p	Niben101Scf01037g01005.1, Niben101Scf01037g02018.1, Niben101Scf02968g06002.1
OG0000221	Mapoly0035s0113.1.p, Mapoly0045s0108.1.p	Niben101Ctg10276g00001.1, Niben101Scf00837g08001.1, Niben101Scf02175g06018.1, Niben101Scf02946g01001.1, Niben101Scf08675g00002.1, Niben101Scf11709g01027.1
OG0000222	Mapoly0014s0180.1.p	Niben101Scf00037g03004.1, Niben101Scf00096g00005.1, Niben101Scf00268g04008.1, Niben101Scf00340g01005.1, Niben101Scf00998g02003.1, Niben101Scf04740g01001.1, Niben101Scf06852g02001.1
OG0000223	Mapoly0004s0174.1.p, Mapoly0040s0056.1.p, Mapoly0040s0057.1.p, Mapoly0040s0059.1.p	Niben101Scf00631g01016.1, Niben101Scf00726g02004.1, Niben101Scf03154g05007.1, Niben101Scf05582g04014.1
OG0000224	Mapoly0105s0059.1.p	Niben101Ctg12880g00004.1, Niben101Scf00435g01011.1, Niben101Scf01269g05002.1, Niben101Scf03507g05006.1, Niben101Scf04477g00011.1, Niben101Scf08338g01024.1, Niben101Scf10749g00007.1
OG0000225	Mapoly0076s0053.1.p	Niben101Ctg16428g00003.1, Niben101Scf00597g00007.1, Niben101Scf01220g00010.1, Niben101Scf01455g01022.1, Niben101Scf01687g01009.1, Niben101Scf02156g09006.1, Niben101Scf19358g00011.1
OG0000226	Mapoly0012s0152.1.p, Mapoly0036s0061.1.p, Mapoly0036s0062.1.p, Mapoly0036s0064.1.p, Mapoly0036s0066.1.p, Mapoly0036s0068.1.p, Mapoly0036s0069.1.p, Mapoly0069s0033.1.p	
OG0000227	Mapoly0011s0122.1.p	Niben101Scf00414g02003.1, Niben101Scf01180g02003.1, Niben101Scf02191g02005.1, Niben101Scf03856g06015.1, Niben101Scf09582g01011.1, Niben101Scf18667g02002.1, Niben101Scf35149g00005.1
OG0000228	Mapoly0077s0065.1.p, Mapoly0117s0048.1.p, Mapoly0134s0045.1.p	Niben101Scf01825g03009.1, Niben101Scf01825g04012.1, Niben101Scf06569g00001.1, Niben101Scf06569g01013.1, Niben101Scf18254g00001.1
OG0000229	Mapoly0169s0007.1.p	Niben101Scf01380g01024.1, Niben101Scf02763g05015.1, Niben101Scf02790g05022.1, Niben101Scf05914g00001.1, Niben101Scf06548g00001.1, Niben101Scf08669g00004.1, Niben101Scf20787g00014.1
OG0000230	Mapoly0015s0005.1.p	Niben101Scf01202g00001.1, Niben101Scf01202g01013.1, Niben101Scf04398g00002.1, Niben101Scf06665g01003.1, Niben101Scf13865g00004.1, Niben101Scf13865g00007.1, Niben101Scf14115g01004.1
OG0000231	Mapoly0001s0522.1.p	Niben101Scf02720g04008.1, Niben101Scf02797g01003.1, Niben101Scf03506g03003.1, Niben101Scf04436g11005.1, Niben101Scf08050g00007.1, Niben101Scf08341g08003.1, Niben101Scf08931g00006.1
OG0000232	Mapoly0001s0079.1.p, Mapoly0183s0001.1.p, Mapoly0183s0002.1.p, Mapoly0183s0003.1.p, Mapoly0224s0012.1.p	Niben101Scf01440g04009.1, Niben101Scf02941g01006.1, Niben101Scf10396g01017.1
OG0000233	Mapoly0001s0259.1.p	Niben101Scf00047g03012.1, Niben101Scf00270g13010.1, Niben101Scf00985g04006.1, Niben101Scf01253g00005.1, Niben101Scf02216g02019.1, Niben101Scf02509g12006.1, Niben101Scf18418g03002.1
OG0000234	Mapoly0040s0004.1.p	Niben101Scf02772g01009.1, Niben101Scf03099g04004.1, Niben101Scf03221g02010.1, Niben101Scf04036g04001.1, Niben101Scf05374g05003.1, Niben101Scf06734g01023.1, Niben101Scf06734g01026.1
OG0000235	Mapoly0043s0082.1.p	Niben101Scf02093g03001.1, Niben101Scf04120g03013.1, Niben101Scf04387g01024.1, Niben101Scf04387g01033.1, Niben101Scf04436g13009.1, Niben101Scf05961g02011.1, Niben101Scf06919g00024.1
OG0000236	Mapoly0007s0277.1.p	Niben101Scf02653g01002.1, Niben101Scf03479g05013.1, Niben101Scf03595g10007.1, Niben101Scf05030g01007.1, Niben101Scf05102g00004.1, Niben101Scf05867g00005.1, Niben101Scf07202g00007.1
OG0000237	Mapoly0007s0096.1.p	Niben101Scf00046g05013.1, Niben101Scf02853g06014.1, Niben101Scf02949g02002.1, Niben101Scf03444g01007.1, Niben101Scf03816g00006.1, Niben101Scf12680g01004.1, Niben101Scf14768g00003.1
OG0000238	Mapoly0002s0093.1.p	Niben101Ctg14396g00002.1, Niben101Scf00024g03018.1, Niben101Scf01100g05005.1, Niben101Scf02797g00005.1, Niben101Scf07788g03005.1, Niben101Scf14009g00002.1, Niben101Scf16768g01006.1
OG0000239	Mapoly0086s0009.1.p	Niben101Scf00709g02008.1, Niben101Scf03224g00016.1, Niben101Scf03437g00005.1, Niben101Scf05103g00003.1, Niben101Scf06163g00011.1, Niben101Scf07141g00013.1, Niben101Scf20521g00012.1
OG0000240	Mapoly0036s0005.1.p	Niben101Scf00339g09007.1, Niben101Scf01326g07007.1, Niben101Scf01362g02011.1, Niben101Scf01727g03001.1, Niben101Scf02253g00002.1, Niben101Scf06172g04009.1, Niben101Scf06999g01017.1
OG0000241	Mapoly0036s0137.1.p	Niben101Scf02946g00003.1, Niben101Scf03209g00027.1, Niben101Scf03977g02003.1, Niben101Scf05938g01013.1, Niben101Scf08679g04009.1, Niben101Scf11709g01032.1, Niben101Scf15532g01011.1
OG0000242	Mapoly0026s0142.1.p	Niben101Ctg15364g00004.1, Niben101Scf00180g05004.1, Niben101Scf00742g00012.1, Niben101Scf00798g00001.1, Niben101Scf06032g00007.1, Niben101Scf07527g02015.1, Niben101Scf13684g00002.1
OG0000243	Mapoly0034s0036.1.p	Niben101Scf01310g04012.1, Niben101Scf02289g03002.1, Niben101Scf06076g00027.1, Niben101Scf06493g00003.1, Niben101Scf06560g02016.1, Niben101Scf06674g05021.1, Niben101Scf14390g00005.1
OG0000244	Mapoly0091s0008.1.p	Niben101Scf00187g02027.1, Niben101Scf01700g02004.1, Niben101Scf01700g03017.1, Niben101Scf04657g03011.1, Niben101Scf04657g05006.1, Niben101Scf04657g06001.1, Niben101Scf08001g02016.1
OG0000245	Mapoly0035s0001.1.p, Mapoly0035s0002.1.p, Mapoly0035s0003.1.p, Mapoly0035s0005.1.p, Mapoly0035s0009.1.p, Mapoly0035s0010.1.p, Mapoly0035s0011.1.p, Mapoly0035s0012.1.p	
OG0000246	Mapoly0035s0106.1.p	Niben101Scf01375g02014.1, Niben101Scf01756g02004.1, Niben101Scf03239g05026.1, Niben101Scf09976g00018.1, Niben101Scf13394g00012.1, Niben101Scf23152g00007.1, Niben101Scf28925g00001.1
OG0000247	Mapoly0025s0094.1.p	Niben101Scf01257g00008.1, Niben101Scf01738g04009.1, Niben101Scf05118g09003.1, Niben101Scf06189g04003.1, Niben101Scf06223g00002.1, Niben101Scf08982g00005.1, Niben101Scf09678g01012.1
OG0000248		Niben101Scf00131g01018.1, Niben101Scf00321g03009.1, Niben101Scf01189g03003.1, Niben101Scf02029g01012.1, Niben101Scf04660g00006.1, Niben101Scf06203g04002.1, Niben101Scf07709g01036.1, Niben101Scf09132g00012.1
OG0000249		Niben101Scf00160g09012.1, Niben101Scf00770g01003.1, Niben101Scf01892g02001.1, Niben101Scf02390g02001.1, Niben101Scf03737g06014.1, Niben101Scf04754g02001.1, Niben101Scf04832g02004.1, Niben101Scf06091g05004.1
OG0000250		Niben101Scf00327g01033.1, Niben101Scf01886g00007.1, Niben101Scf02145g11008.1, Niben101Scf02145g11009.1, Niben101Scf03694g08004.1, Niben101Scf05438g04002.1, Niben101Scf05438g05008.1, Niben101Scf05438g05027.1
OG0000251		Niben101Scf01297g04005.1, Niben101Scf02430g02003.1, Niben101Scf02853g03003.1, Niben101Scf03156g04011.1, Niben101Scf04063g00006.1, Niben101Scf04436g02004.1, Niben101Scf11616g00009.1, Niben101Scf12680g03004.1
OG0000252	Mapoly0023s0138.1.p, Mapoly0082s0007.1.p, Mapoly0139s0007.1.p, Mapoly0197s0016.1.p	Niben101Scf00151g09004.1, Niben101Scf04316g09007.1, Niben101Scf05767g08020.1
OG0000253	Mapoly0090s0006.1.p, Mapoly0105s0001.1.p, Mapoly0105s0002.1.p, Mapoly2364s0001.1.p, Mapoly3272s0001.1.p, Mapoly3858s0001.1.p, Mapoly4156s0001.1.p	
OG0000254	Mapoly0033s0057.1.p	Niben101Scf00460g03016.1, Niben101Scf04686g02011.1, Niben101Scf04950g04018.1, Niben101Scf06514g02008.1, Niben101Scf09604g00015.1, Niben101Scf14830g00001.1
OG0000255	Mapoly0033s0128.1.p	Niben101Scf01046g02008.1, Niben101Scf01046g02009.1, Niben101Scf02907g07020.1, Niben101Scf04950g00014.1, Niben101Scf08355g04001.1, Niben101Scf08936g09009.1
OG0000256	Mapoly0101s0071.1.p	Niben101Scf01033g01011.1, Niben101Scf02774g01005.1, Niben101Scf02854g01005.1, Niben101Scf07402g03004.1, Niben101Scf08111g01004.1, Niben101Scf17855g00007.1
OG0000257	Mapoly0114s0003.1.p, MapolyY_B0043.1.p	Niben101Scf00233g01005.1, Niben101Scf00338g10014.1, Niben101Scf04407g01009.1, Niben101Scf05519g01009.1, Niben101Scf06825g00003.1
OG0000258	Mapoly0065s0073.1.p	Niben101Scf00585g04012.1, Niben101Scf00592g14019.1, Niben101Scf00671g00006.1, Niben101Scf01497g02003.1, Niben101Scf02041g03005.1, Niben101Scf03673g04010.1
OG0000259	Mapoly0038s0036.1.p, Mapoly0132s0024.1.p	Niben101Scf05665g00012.1, Niben101Scf06310g00004.1, Niben101Scf06310g00007.1, Niben101Scf16764g00007.1, Niben101Scf32649g00006.1
OG0000260	Mapoly0085s0036.1.p	Niben101Scf04387g01030.1, Niben101Scf04436g13014.1, Niben101Scf04436g13015.1, Niben101Scf05961g02020.1, Niben101Scf06919g00018.1, Niben101Scf06919g00019.1
OG0000261	Mapoly0017s0019.1.p, Mapoly0018s0017.1.p, MapolyY_B0001.1.p	Niben101Scf02413g03018.1, Niben101Scf03983g00042.1, Niben101Scf06222g01010.1, Niben101Scf07069g01004.1
OG0000262	Mapoly0017s0003.1.p	Niben101Scf00159g07004.1, Niben101Scf01987g01018.1, Niben101Scf04444g02003.1, Niben101Scf07163g02006.1, Niben101Scf07682g01012.1, Niben101Scf07713g00002.1
OG0000263	Mapoly0064s0112.1.p, Mapoly0064s0113.1.p, Mapoly0129s0028.1.p, Mapoly0151s0025.1.p	Niben101Scf01433g04009.1, Niben101Scf05405g07003.1, Niben101Scf07034g06019.1
OG0000264	Mapoly0046s0061.1.p, Mapoly0046s0063.1.p, Mapoly0076s0069.1.p, Mapoly0088s0071.1.p	Niben101Scf00447g03012.1, Niben101Scf00503g10001.1, Niben101Scf01990g00003.1
OG0000265	Mapoly0013s0138.1.p, Mapoly0030s0127.1.p	Niben101Scf00180g10018.1, Niben101Scf00371g01007.1, Niben101Scf04384g04007.1, Niben101Scf04724g06007.1, Niben101Scf07007g02005.1
OG0000266	Mapoly0008s0131.1.p, Mapoly0008s0244.1.p, Mapoly0030s0008.1.p, Mapoly0040s0067.1.p, Mapoly0069s0039.1.p, Mapoly0069s0040.1.p, Mapoly0117s0008.1.p	
OG0000267	Mapoly0006s0191.1.p	Niben101Scf00339g14004.1, Niben101Scf00409g03001.1, Niben101Scf01276g02007.1, Niben101Scf04364g01001.1, Niben101Scf04907g05009.1, Niben101Scf05364g00007.1
OG0000268	Mapoly0004s0120.1.p, Mapoly0006s0043.1.p, Mapoly0104s0044.1.p	Niben101Scf01102g03004.1, Niben101Scf01954g01024.1, Niben101Scf08576g00001.1, Niben101Scf17688g00020.1
OG0000269	Mapoly0006s0049.1.p	Niben101Scf00526g00002.1, Niben101Scf01125g01006.1, Niben101Scf01526g04020.1, Niben101Scf02156g15009.1, Niben101Scf03076g02004.1, Niben101Scf09560g00009.1
OG0000270	Mapoly3477s0001.1.p	Niben101Scf01920g00015.1, Niben101Scf02634g01001.1, Niben101Scf03377g05025.1, Niben101Scf04134g02005.1, Niben101Scf06390g00008.1, Niben101Scf12738g00010.1
OG0000271	Mapoly0021s0033.1.p	Niben101Scf01824g00002.1, Niben101Scf03518g07003.1, Niben101Scf04021g08008.1, Niben101Scf04382g00015.1, Niben101Scf09044g01002.1, Niben101Scf09044g01005.1
OG0000272	Mapoly0151s0038.1.p	Niben101Scf00057g00033.1, Niben101Scf00508g01009.1, Niben101Scf00807g03028.1, Niben101Scf01580g02004.1, Niben101Scf03865g05006.1, Niben101Scf05952g00008.1
OG0000273	Mapoly0149s0029.1.p	Niben101Scf00854g06027.1, Niben101Scf02160g06066.1, Niben101Scf02192g01017.1, Niben101Scf08567g00003.1, Niben101Scf14937g00008.1, Niben101Scf37330g00001.1
OG0000274	Mapoly0095s0046.1.p	Niben101Scf00428g17008.1, Niben101Scf02705g02020.1, Niben101Scf03852g00024.1, Niben101Scf05956g01010.1, Niben101Scf15496g02014.1, Niben101Scf16530g00017.1
OG0000275	Mapoly0086s0038.1.p, Mapoly0095s0001.1.p	Niben101Scf01489g01003.1, Niben101Scf02471g06005.1, Niben101Scf05562g00011.1, Niben101Scf10158g01037.1, Niben101Scf10210g00005.1
OG0000276	Mapoly0049s0067.1.p, Mapoly0122s0029.1.p	Niben101Scf00577g12010.1, Niben101Scf00725g01008.1, Niben101Scf00753g03018.1, Niben101Scf01518g02002.1, Niben101Scf31945g00009.1
OG0000277	Mapoly0001s0070.1.p, Mapoly0179s0001.1.p	Niben101Scf00691g04016.1, Niben101Scf00774g00002.1, Niben101Scf03102g00007.1, Niben101Scf03102g00014.1, Niben101Scf18308g01006.1
OG0000278	Mapoly0034s0011.1.p, Mapoly0097s0029.1.p	Niben101Scf00713g05004.1, Niben101Scf00713g05010.1, Niben101Scf02637g01002.1, Niben101Scf07436g00016.1, Niben101Scf22285g00006.1
OG0000279	Mapoly0003s0275.1.p	Niben101Scf00104g02015.1, Niben101Scf01876g00008.1, Niben101Scf04361g00006.1, Niben101Scf05801g00006.1, Niben101Scf12159g09005.1, Niben101Scf12159g09019.1
OG0000280	Mapoly0003s0284.1.p, Mapoly0009s0154.1.p	Niben101Scf00687g03008.1, Niben101Scf01773g03023.1, Niben101Scf01956g01003.1, Niben101Scf02558g00020.1, Niben101Scf10440g01002.1
OG0000281	Mapoly0003s0148.1.p	Niben101Scf01958g05020.1, Niben101Scf02468g02018.1, Niben101Scf05154g01014.1, Niben101Scf06100g02029.1, Niben101Scf07030g05002.1, Niben101Scf09628g00001.1
OG0000282	Mapoly0154s0010.1.p, Mapoly0158s0022.1.p	Niben101Scf02700g01006.1, Niben101Scf03702g01002.1, Niben101Scf05107g02003.1, Niben101Scf11608g01010.1, Niben101Scf11922g01009.1
OG0000283	Mapoly0055s0122.1.p	Niben101Scf00674g00009.1, Niben101Scf02583g06016.1, Niben101Scf04171g02005.1, Niben101Scf04223g01043.1, Niben101Scf06658g00002.1, Niben101Scf08723g01003.1
OG0000284	Mapoly0078s0017.1.p	Niben101Scf00905g13001.1, Niben101Scf01894g02009.1, Niben101Scf02136g01014.1, Niben101Scf05246g01009.1, Niben101Scf10476g02004.1, Niben101Scf13643g01009.1
OG0000285	Mapoly0010s0033.1.p, Mapoly0010s0035.1.p, Mapoly0130s0039.1.p	Niben101Scf00536g12004.1, Niben101Scf01163g00001.1, Niben101Scf02869g15008.1, Niben101Scf02869g15022.1
OG0000286	Mapoly0028s0092.1.p, Mapoly0048s0068.1.p	Niben101Scf00585g04010.1, Niben101Scf01497g00001.1, Niben101Scf02041g02007.1, Niben101Scf03673g05012.1, Niben101Scf06211g01009.1
